prior_tercile,arm,n,mean_belief_change,mean_invest
early,control,322,0.0,11581.361151927673
early,forecast_offer,313,1.575057484273761,12023.540891162453
early,insurance_offer,365,0.0,12635.724048595797
late,control,339,0.0,11966.199630019051
late,forecast_offer,317,-2.218983656275041,11357.831318429555
late,insurance_offer,344,0.0,12703.164169280035
mid,control,335,0.0,11662.23620622073
mid,forecast_offer,366,0.36538647758616905,11423.691178197123
mid,insurance_offer,299,0.0,12511.766526607074
